85 1 1 1 87 1 1 1 1 53 1 27 1 1 40 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 41 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
25 2 2 2 30 3 1 3 2 32 2 22 2 2 51 2 2 2 2 2 2 1 3 2 3 24 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 2 1 3 2 2 1 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 3 3 2 2 1 2 2 2 1 4 2 2 1 2 3 2 3 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 3 1 2 2 2 3 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 0 0 0 0 0
7 3 3 2 26 2 2 2 3 35 3 6 3 3 12 3 3 3 2 3 3 2 2 3 3 19 3 3 3 3 3 2 3 3 2 3 3 2 3 3 2 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 2 3 3 2 2 3 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 2 3 3 3 2 3 1 3 3 3 2 3 3 2 3 3 3 2 3 3 3 2 3 2 3 3 2 3 3 3 3 2 3 3 3 3 2 3 3 3 3 3 2 3 2 3 3 2 1 2 3 3 2 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 1 2 3 0 0 0 0 0
3 4 2 3 9 2 3 2 2 35 4 4 4 2 5 2 3 4 3 2 4 3 3 4 2 14 2 2 2 4 4 3 2 4 3 2 2 3 2 2 3 2 4 2 3 3 2 3 4 4 2 2 3 2 4 4 2 2 4 2 4 2 2 4 4 2 2 2 2 3 2 2 3 3 2 3 3 2 2 2 2 2 2 2 3 2 2 2 4 2 2 4 3 4 4 3 2 2 2 2 2 2 2 2 2 3 2 2 3 2 4 2 3 2 2 3 3 4 3 2 3 3 2 4 4 2 3 2 2 2 4 2 2 4 4 4 4 2 4 3 2 4 3 2 2 4 4 3 2 2 2 3 2 2 2 3 4 2 2 4 2 2 2 4 3 4 5 3 3 0 0 0 0 0
3 3 3 2 7 3 2 3 2 24 3 3 3 3 5 3 2 3 2 3 3 2 2 3 3 18 3 3 3 3 3 2 2 3 4 3 3 3 3 3 4 3 2 2 4 2 3 2 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 2 3 3 2 4 3 4 2 3 3 3 3 3 2 2 2 3 3 2 3 3 3 3 2 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 2 3 3 4 4 3 2 3 2 2 3 3 3 3 2 3 3 2 3 3 3 3 3 3 3 3 3 4 4 3 2 2 3 2 3 4 2 3 3 4 3 3 3 2 3 3 3 3 2 3 3 3 4 3 4 4 2 0 0 0 0 0
3 2 2 3 6 2 2 2 3 21 4 2 4 4 4 4 2 2 3 4 4 3 3 2 4 10 2 4 2 4 2 3 3 2 3 2 2 2 2 4 2 4 3 3 3 3 2 2 2 2 3 4 2 4 2 2 2 4 2 2 3 2 2 2 3 3 4 2 2 3 2 4 3 3 4 3 2 3 4 2 4 2 3 3 3 2 4 2 2 2 4 2 3 2 3 2 4 4 2 4 3 4 2 2 2 4 4 2 3 2 4 2 2 4 2 3 3 2 3 2 3 3 4 4 2 2 3 4 2 3 4 4 2 3 4 2 2 4 4 2 3 2 3 3 2 3 4 3 3 4 2 3 2 2 2 3 2 4 4 2 3 4 2 4 3 4 8 3 3 0 0 0 0 0
2 3 3 2 5 3 4 3 3 22 3 2 3 3 3 3 2 3 4 1 3 2 2 3 3 5 3 3 2 3 3 2 2 3 4 3 3 3 4 3 3 3 2 2 2 3 3 2 3 3 2 3 3 3 3 3 3 3 3 3 1 3 3 2 2 2 5 3 3 4 3 3 2 4 3 4 3 4 3 3 3 2 4 2 2 3 3 3 3 3 3 3 2 2 2 3 3 3 2 5 2 3 3 3 3 3 3 3 2 2 3 3 3 3 2 2 4 3 2 3 2 3 3 3 3 3 2 3 3 2 3 3 3 2 3 3 3 3 3 3 2 3 3 2 3 4 3 4 3 3 3 2 3 3 3 4 3 3 3 2 4 3 3 3 4 3 5 2 3 0 0 0 0 0
2 2 3 2 6 3 3 2 4 11 4 3 2 4 3 2 3 3 2 2 2 3 2 2 4 14 2 4 3 30 2 3 3 1 3 4 4 4 3 4 4 2 2 3 3 4 2 3 2 2 3 1 3 4 2 2 2 2 2 2 2 4 4 3 3 2 4 3 3 3 2 2 3 3 3 3 4 1 2 2 4 2 3 3 3 3 3 4 1 4 1 4 3 3 3 4 2 4 3 3 3 2 2 2 2 2 2 2 3 2 2 2 2 2 3 3 3 4 2 4 3 2 2 2 3 2 3 2 3 3 4 4 4 3 4 2 4 1 2 2 3 4 4 3 2 3 4 3 3 4 4 3 2 4 4 2 2 2 3 3 3 4 2 4 3 3 4 3 4 0 0 0 0 0
4 3 4 2 5 2 2 3 3 16 2 4 3 2 3 3 4 2 2 3 2 4 3 3 3 8 3 3 2 29 3 4 3 2 4 3 3 3 2 3 2 1 3 4 2 3 3 2 2 3 2 3 4 3 2 3 3 2 3 3 3 2 3 4 4 2 3 4 4 2 3 3 4 2 2 2 3 2 3 3 3 3 2 4 4 4 4 3 2 3 3 3 4 4 4 3 3 3 2 3 2 3 3 3 2 2 3 3 2 2 2 3 4 2 2 3 2 2 3 3 2 2 3 3 4 4 2 3 2 3 3 3 3 1 3 2 3 2 3 4 3 3 3 2 2 4 3 4 2 3 3 2 3 2 3 2 3 3 2 4 4 3 3 3 2 2 3 2 2 0 0 0 0 0
3 4 2 2 4 3 2 2 2 11 3 3 4 3 2 2 3 3 4 2 3 2 2 2 2 9 4 2 3 21 3 3 4 3 3 4 4 2 2 2 2 6 2 3 2 4 2 3 4 2 3 2 3 4 3 2 2 3 2 4 4 3 4 3 2 3 2 3 3 3 4 2 3 3 3 3 2 3 4 4 2 4 3 3 3 3 3 2 3 2 4 2 3 3 2 4 2 4 3 4 3 2 4 4 3 2 2 3 3 3 3 2 3 4 3 2 3 3 4 2 3 3 3 4 3 2 2 2 3 4 4 4 2 2 2 3 3 3 4 3 1 2 2 3 3 2 2 3 3 2 2 3 2 3 4 3 4 2 3 3 3 2 2 2 3 3 2 3 3 0 0 0 0 0
