500 0 0 0 0 0 0
500 0 0 0 0 0 0
500 0 0 0 0 0 0
317 155 17 11 0 0 0
82 125 125 168 0 0 0
68 216 124 91 0 0 0
113 157 124 105 0 0 0
136 86 105 92 80 0 0
129 44 84 133 109 0 0
117 84 91 116 92 0 0
116 84 90 115 80 14 0
71 72 100 63 81 85 26
72 29 87 85 88 71 68
78 84 48 65 68 71 86
75 45 55 47 49 72 158
73 31 40 57 49 73 179
76 58 67 25 59 72 144
81 66 50 50 69 69 115
65 70 49 62 77 61 116
84 75 60 67 80 74 60
55 74 48 69 50 72 132
65 74 64 63 61 71 100
66 73 75 58 67 72 88
68 77 90 61 69 73 63
75 77 79 54 72 72 73
70 77 48 73 71 73 88
79 78 50 74 72 72 76
73 76 59 73 73 73 73
63 77 66 72 72 74 76
65 74 69 71 70 73 79
67 72 71 72 71 74 75
68 73 72 71 70 73 74
69 72 70 72 71 72 74
71 71 71 73 70 73 73
70 72 72 72 71 72 72
71 71 75 69 70 71 73
72 72 73 70 71 70 72
73 74 72 73 70 68 71
72 75 71 74 71 67 72
72 74 71 75 70 67 71
